"['sub-CC00132XX09', 'ses-44400']"
"['sub-CC00135AN12', 'ses-44900']"
"['sub-CC00167XX11', 'ses-55600']"
"['sub-CC00135BN12', 'ses-44704']"
"['sub-CC00135BN12', 'ses-54500']"
"['sub-CC00131XX08', 'ses-44200']"
"['sub-CC00107XX08', 'ses-36300']"
"['sub-CC00174XX10', 'ses-57200']"
"['sub-CC00071XX06', 'ses-27000']"
"['sub-CC00143BN12', 'ses-47600']"
"['sub-CC00120XX05', 'ses-41600']"
"['sub-CC00066XX09', 'ses-19200']"
"['sub-CC00144XX13', 'ses-47701']"
"['sub-CC00070XX05', 'ses-26700']"
"['sub-CC00157XX09', 'ses-51900']"
"['sub-CC00181XX09', 'ses-60000']"
"['sub-CC00165XX09', 'ses-54600']"
"['sub-CC00073XX08', 'ses-27800']"
"['sub-CC00122XX07', 'ses-42000']"
"['sub-CC00158XX10', 'ses-52200']"
"['sub-CC00117XX10', 'ses-38200']"
"['sub-CC00197XX17', 'ses-66500']"
"['sub-CC00202XX04', 'ses-67800']"
"['sub-CC00205XX07', 'ses-70000']"
"['sub-CC00206XX08', 'ses-70100']"
"['sub-CC00207XX09', 'ses-88700']"
"['sub-CC00284BN13', 'ses-111500']"
"['sub-CC00281AN10', 'ses-90400']"
"['sub-CC00252XX05', 'ses-84000']"
"['sub-CC00295XX16', 'ses-127500']"
"['sub-CC00272XX09', 'ses-117900']"
"['sub-CC00258XX11', 'ses-84900']"
"['sub-CC00260XX05', 'ses-85300']"
"['sub-CC00286XX15', 'ses-91700']"
"['sub-CC00308XX11', 'ses-98900']"
"['sub-CC00305XX08', 'ses-115700']"
"['sub-CC00245AN15', 'ses-82304']"
"['sub-CC00245BN15', 'ses-82600']"
"['sub-CC00302XX05', 'ses-113500']"
"['sub-CC00316XX11', 'ses-101300']"
"['sub-CC00314XX09', 'ses-100101']"
"['sub-CC00248XX18', 'ses-92700']"
"['sub-CC00338AN17', 'ses-107700']"
"['sub-CC00337XX16', 'ses-107000']"
"['sub-CC00361XX07', 'ses-120500']"
"['sub-CC00351XX05', 'ses-109500']"
"['sub-CC00349XX20', 'ses-110300']"
"['sub-CC00367XX13', 'ses-116000']"
"['sub-CC00366XX12', 'ses-116300']"
"['sub-CC00408XX12', 'ses-125500']"
"['sub-CC00376XX14', 'ses-118400']"
"['sub-CC00379XX17', 'ses-120400']"
"['sub-CC00385XX15', 'ses-118500']"
"['sub-CC00377XX15', 'ses-119800']"
"['sub-CC00388XX18', 'ses-118700']"
"['sub-CC00412XX08', 'ses-126301']"
"['sub-CC00395XX17', 'ses-121300']"
"['sub-CC00400XX04', 'ses-123700']"
"['sub-CC00403XX07', 'ses-124400']"
"['sub-CC00397XX19', 'ses-122700']"
"['sub-CC00406XX10', 'ses-122900']"
"['sub-CC00418BN14', 'ses-125300']"
"['sub-CC00418AN14', 'ses-125200']"
"['sub-CC00407BN11', 'ses-124100']"
"['sub-CC00445XX17', 'ses-134800']"
"['sub-CC00423XX11', 'ses-127200']"
"['sub-CC00444XX16', 'ses-135101']"
"['sub-CC00421BN09', 'ses-126100']"
"['sub-CC00447XX19', 'ses-135600']"
"['sub-CC00438XX18', 'ses-156800']"
"['sub-CC00578AN18', 'ses-164900']"
"['sub-CC00514XX11', 'ses-151400']"
"['sub-CC00458XX13', 'ses-138900']"
"['sub-CC00456XX11', 'ses-138000']"
"['sub-CC00466AN13', 'ses-138400']"
"['sub-CC00513XX10', 'ses-150000']"
"['sub-CC00516XX13', 'ses-152902']"
"['sub-CC00500XX05', 'ses-145900']"
"['sub-CC00532XX13', 'ses-154200']"
"['sub-CC00492BN15', 'ses-140800']"
"['sub-CC00489XX20', 'ses-138800']"
"['sub-CC00600XX06', 'ses-175800']"
"['sub-CC00525XX14', 'ses-150600']"
"['sub-CC00502XX07', 'ses-146700']"
"['sub-CC00570XX10', 'ses-158900']"
"['sub-CC00620XX10', 'ses-210900']"
"['sub-CC00621XX11', 'ses-177900']"
"['sub-CC00672AN13', 'ses-197601']"
"['sub-CC00672AN13', 'ses-214900']"
"['sub-CC00672BN13', 'ses-214800']"
"['sub-CC00689XX22', 'ses-207400']"
"['sub-CC00712XX11', 'ses-221400']"
"['sub-CC00647XX21', 'ses-190801']"
"['sub-CC00648XX22', 'ses-191100']"
"['sub-CC00607XX13', 'ses-179300']"
"['sub-CC00719XX18', 'ses-210600']"
"['sub-CC00584XX16', 'ses-178800']"
"['sub-CC00627XX17', 'ses-180600']"
"['sub-CC00492AN15', 'ses-140900']"
"['sub-CC00563XX11', 'ses-153900']"
"['sub-CC00628XX18', 'ses-181800']"
"['sub-CC00628XX18', 'ses-193500']"
"['sub-CC00723XX14', 'ses-224100']"
"['sub-CC00838XX22', 'ses-21910']"
"['sub-CC00695XX20', 'ses-202600']"
"['sub-CC00815XX15', 'ses-4120']"
"['sub-CC00597XX21', 'ses-190200']"
"['sub-CC00517XX14', 'ses-159200']"
"['sub-CC00843XX19', 'ses-4330']"
"['sub-CC00822XX14', 'ses-15710']"
"['sub-CC00798XX24', 'ses-245400']"
"['sub-CC00792XX18', 'ses-244200']"
"['sub-CC00771XX13', 'ses-17710']"
"['sub-CC00853XX12', 'ses-7330']"
"['sub-CC00823XX15', 'ses-15810']"
"['sub-CC00845AN21', 'ses-26510']"
"['sub-CC00845AN21', 'ses-32010']"
"['sub-CC00829XX21', 'ses-17610']"
"['sub-CC00801XX09', 'ses-29510']"
"['sub-CC00850XX09', 'ses-4930']"
"['sub-CC00702AN09', 'ses-204600']"
"['sub-CC00629XX19', 'ses-198100']"
"['sub-CC00686XX19', 'ses-209100']"
"['sub-CC00618XX16', 'ses-177201']"
"['sub-CC00618XX16', 'ses-193600']"
"['sub-CC00670XX11', 'ses-197200']"
"['sub-CC00549XX22', 'ses-157600']"
"['sub-CC00550XX06', 'ses-157800']"
"['sub-CC00544XX17', 'ses-169300']"
"['sub-CC00810XX10', 'ses-29010']"
"['sub-CC00768XX18', 'ses-236400']"
"['sub-CC00845BN21', 'ses-32110']"
"['sub-CC00552XX08', 'ses-159300']"
"['sub-CC00594XX18', 'ses-189800']"
