,half,rep
0,"['sub-CC00237XX15', 'ses-79300']","['sub-CC00132XX09', 'ses-44400']"
1,"['sub-CC00100XX01', 'ses-35000']","['sub-CC00135AN12', 'ses-44900']"
2,"['sub-CC00448XX20', 'ses-135800']","['sub-CC00167XX11', 'ses-55600']"
3,"['sub-CC00418BN14', 'ses-130300']","['sub-CC00135BN12', 'ses-44704']"
4,"['sub-CC00380XX10', 'ses-121200']","['sub-CC00135BN12', 'ses-54500']"
5,"['sub-CC00293BN14', 'ses-97500']","['sub-CC00131XX08', 'ses-44200']"
6,"['sub-CC00218BN12', 'ses-74800']","['sub-CC00107XX08', 'ses-36300']"
7,"['sub-CC00195XX15', 'ses-65800']","['sub-CC00174XX10', 'ses-57200']"
8,"['sub-CC00838XX22', 'ses-30610']","['sub-CC00071XX06', 'ses-27000']"
9,"['sub-CC00138XX15', 'ses-46200']","['sub-CC00143BN12', 'ses-47600']"
10,"['sub-CC00119XX12', 'ses-39400']","['sub-CC00120XX05', 'ses-41600']"
11,"['sub-CC00203XX05', 'ses-69500']","['sub-CC00066XX09', 'ses-19200']"
12,"['sub-CC00232XX10', 'ses-78300']","['sub-CC00144XX13', 'ses-47701']"
13,"['sub-CC00270XX07', 'ses-88600']","['sub-CC00070XX05', 'ses-26700']"
14,"['sub-CC00421AN09', 'ses-126000']","['sub-CC00157XX09', 'ses-51900']"
15,"['sub-CC00465XX12', 'ses-137900']","['sub-CC00181XX09', 'ses-60000']"
16,"['sub-CC00113XX06', 'ses-37200']","['sub-CC00165XX09', 'ses-54600']"
17,"['sub-CC00430XX10', 'ses-131100']","['sub-CC00073XX08', 'ses-27800']"
18,"['sub-CC00216BN10', 'ses-73200']","['sub-CC00122XX07', 'ses-42000']"
19,"['sub-CC00621XX11', 'ses-195900']","['sub-CC00158XX10', 'ses-52200']"
20,"['sub-CC00497XX20', 'ses-144500']","['sub-CC00117XX10', 'ses-38200']"
21,"['sub-CC00688XX21', 'ses-199500']","['sub-CC00197XX17', 'ses-66500']"
22,"['sub-CC00428XX16', 'ses-130400']","['sub-CC00202XX04', 'ses-67800']"
23,"['sub-CC00370XX08', 'ses-142400']","['sub-CC00205XX07', 'ses-70000']"
24,"['sub-CC00226XX12', 'ses-76600']","['sub-CC00206XX08', 'ses-70100']"
25,"['sub-CC00845BN21', 'ses-26410']","['sub-CC00207XX09', 'ses-88700']"
26,"['sub-CC00457XX12', 'ses-138601']","['sub-CC00284BN13', 'ses-111500']"
27,"['sub-CC00846XX22', 'ses-26710']","['sub-CC00281AN10', 'ses-90400']"
28,"['sub-CC00546XX19', 'ses-173100']","['sub-CC00252XX05', 'ses-84000']"
29,"['sub-CC00595XX19', 'ses-189900']","['sub-CC00295XX16', 'ses-127500']"
30,"['sub-CC00170XX06', 'ses-56100']","['sub-CC00272XX09', 'ses-117900']"
31,"['sub-CC00648XX22', 'ses-204400']","['sub-CC00258XX11', 'ses-84900']"
32,"['sub-CC00617XX15', 'ses-188400']","['sub-CC00260XX05', 'ses-85300']"
33,"['sub-CC00189XX17', 'ses-62301']","['sub-CC00286XX15', 'ses-91700']"
34,"['sub-CC00688XX21', 'ses-205500']","['sub-CC00308XX11', 'ses-98900']"
35,"['sub-CC00371XX09', 'ses-134700']","['sub-CC00305XX08', 'ses-115700']"
36,"['sub-CC00306XX09', 'ses-98700']","['sub-CC00245AN15', 'ses-82304']"
37,"['sub-CC00789XX23', 'ses-21110']","['sub-CC00245BN15', 'ses-82600']"
38,"['sub-CC00102XX03', 'ses-35200']","['sub-CC00302XX05', 'ses-113500']"
39,"['sub-CC00735XX18', 'ses-222201']","['sub-CC00316XX11', 'ses-101300']"
40,"['sub-CC00540XX13', 'ses-164400']","['sub-CC00314XX09', 'ses-100101']"
41,"['sub-CC00304XX07', 'ses-111600']","['sub-CC00248XX18', 'ses-92700']"
42,"['sub-CC00121XX06', 'ses-41700']","['sub-CC00338AN17', 'ses-107700']"
43,"['sub-CC00103XX04', 'ses-35300']","['sub-CC00337XX16', 'ses-107000']"
44,"['sub-CC00361XX07', 'ses-111700']","['sub-CC00361XX07', 'ses-120500']"
45,"['sub-CC00147XX16', 'ses-48500']","['sub-CC00351XX05', 'ses-109500']"
46,"['sub-CC00336XX15', 'ses-106600']","['sub-CC00349XX20', 'ses-110300']"
47,"['sub-CC00740XX15', 'ses-238400']","['sub-CC00367XX13', 'ses-116000']"
48,"['sub-CC00341XX12', 'ses-108000']","['sub-CC00366XX12', 'ses-116300']"
